id;description;date_created;price
1;Armenia compelling;2020-10-12T08:18:24;11660
2;Codes specifically reserved for testing purposes Auto Loan Account Plastic;2020-10-12T10:57:45;60450
3;Metal Health Garden;2020-10-11T22:19:56;63563
4;Drive Ball back up;2020-10-12T01:08:03;9604
5;Stravenue dynamic Beauty;2020-10-12T08:04:27;44097
6;mission-critical;2020-10-12T09:45:09;84380
7;auxiliary action-items sensor;2020-10-12T14:46:24;21881
8;ADP Ecuador;2020-10-12T17:49:24;8950
9;Sleek Somoni;2020-10-12T09:07:18;71259
10;Multi-channelled;2020-10-12T08:05:46;59351
