id;registration;make;model;colour;mot_due
1;SMS Program;24/7 Vision-oriented connecting;Portugal;transmit Small Plastic Sausages indexing;2020-10-12
2;Credit Card Account panel;indigo convergence Multi-tiered;Officer;Handcrafted Metal Chips Streets Music;2020-10-11
3;maximize Architect Fresh;Beauty Solomon Islands Dollar Auto Loan Account;Texas Investment Account Mills;gold;2020-10-11
4;Kentucky Utah;neural;navigating Pataca Kansas;gold Personal Loan Account;2020-10-11
5;South Carolina Representative Arkansas;Small Plastic Chips Rustic back-end;definition Future Chad;Practical Frozen Mouse yellow;2020-10-12
6;deploy Gloves Fresh;green;PNG;analyzing Interactions deposit;2020-10-12
7;needs-based;generate;synthesizing red;Creative;2020-10-11
8;Knoll generate Cloned;black Gloves Mississippi;Customer South Dakota;drive;2020-10-12
9;Savings Account Sausages override;Fiji Dollar Orchard Licensed Metal Gloves;interface out-of-the-box;benchmark GB;2020-10-12
10;program compress port;District;Steel;impactful Shirt;2020-10-12
